BATERIA1:1
BUZZER1:1
C1:1
C2:1
CARGA1:1
ESP1:1
FLASCH1:1
INTERRUPTOR1:1
MH-CD1:1
MOTOR1:1
MOTOR2:1
Q1:1
R1:1
R2:1
R3:1
RESET1:1
SENSOR_ULTRASONIDO1:1
SERVOMOTOR1:1
U1:1
led1:1
